Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Date,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Daily_Transaction_Count,Card_Type,Card_Age,Fraud_Label,Txn_to_Balance_Pct,Amount_Zscore_User
1000045,10680,14.28,POS,2025-01-01 07:41:16.201524030,33268.33,Mobile,London,Clothing,0,6,Discover,41,0,0.0429,-0.8472
1000046,19707,111.27,ATM Withdrawal,2025-01-01 07:51:45.206104122,73549.91,Mobile,London,Electronics,0,7,Discover,72,0,0.1513,0.5382
1000047,14457,54.26,Bank Transfer,2025-01-01 08:02:14.210684213,95534.95,Mobile,London,Restaurants,0,15,Amex,87,0,0.0568,-0.3273
1000048,18932,46.56,Online,2025-01-01 08:12:43.215264305,45135.7,Mobile,Mumbai,Clothing,0,5,Discover,190,0,0.1032,1.101
1000049,16780,80.99,Online,2025-01-01 08:23:12.219844396,55625.46,Mobile,London,Clothing,0,9,Discover,58,1,0.1456,0.0528
1000050,17784,13.54,POS,2025-01-01 08:33:41.224424488,81989.07,Mobile,London,Electronics,1,8,Mastercard,27,0,0.0165,-0.7609
1000051,17599,54.11,Bank Transfer,2025-01-01 08:44:10.229004580,24515.23,Mobile,London,Travel,0,11,Mastercard,199,0,0.2207,0.3294
1000052,11947,58.18,ATM Withdrawal,2025-01-01 08:54:39.233584671,26359.36,Laptop,New York,Travel,0,8,Discover,231,0,0.2207,-0.3052
1000053,13640,58.23,POS,2025-01-01 09:05:08.238164763,98242.15,Laptop,New York,Travel,0,2,Mastercard,220,0,0.0593,0.0
1000054,14668,18.28,ATM Withdrawal,2025-01-01 09:15:37.242744854,39682.53,Mobile,New York,Travel,1,11,Mastercard,66,1,0.0461,-0.8418
1000055,14978,78.06,Bank Transfer,2025-01-01 09:26:06.247324946,92496.52,Mobile,London,Clothing,0,8,Amex,145,0,0.0844,0.7071
1000056,10439,127.47,POS,2025-01-01 09:36:35.251905038,74405.19,Laptop,London,Restaurants,0,10,Mastercard,30,0,0.1713,0.6559
1000057,15466,75.63,Online,2025-01-01 09:47:04.256485129,36028.56,Mobile,Sydney,Clothing,0,8,Amex,152,0,0.2099,1.0954
1000058,11543,45.45,Online,2025-01-01 09:57:33.261065221,57895.33,Laptop,Mumbai,Travel,0,7,Discover,172,0,0.0785,1.2985
1000059,17434,469.3,Online,2025-01-01 10:08:02.265645312,93248.32,Laptop,Sydney,Groceries,0,9,Mastercard,138,0,0.5033,1.1515
1000060,16831,26.06,Bank Transfer,2025-01-01 10:18:31.270225404,48599.77,Mobile,Mumbai,Groceries,0,4,Discover,226,0,0.0536,-0.6065
1000061,19226,101.37,ATM Withdrawal,2025-01-01 10:29:00.274805496,46115.16,Mobile,Tokyo,Groceries,0,6,Visa,140,0,0.2198,-0.1491
1000062,17448,66.33,Bank Transfer,2025-01-01 10:39:29.279385587,45912.55,Tablet,New York,Clothing,0,10,Mastercard,218,0,0.1445,-0.1486
1000063,13667,273.1,Online,2025-01-01 10:49:58.283965679,73122.74,Laptop,Sydney,Travel,0,9,Discover,152,0,0.3735,1.4972
1000064,19676,74.4,Bank Transfer,2025-01-01 11:00:27.288545770,29232.67,Mobile,Mumbai,Restaurants,0,7,Visa,22,0,0.2545,0.314
1000065,14109,88.32,POS,2025-01-01 11:10:56.293125862,713.63,Mobile,New York,Clothing,0,7,Visa,113,0,12.3762,1.1345
1000066,13259,81.82,Online,2025-01-01 11:21:25.297705954,78337.39,Laptop,London,Electronics,0,10,Discover,195,0,0.1044,-0.607
1000067,19056,23.41,Online,2025-01-01 11:31:54.302286045,88459.71,Laptop,New York,Restaurants,0,5,Mastercard,80,0,0.0265,-0.603
1000068,13705,27.25,Online,2025-01-01 11:42:23.306866137,83360.46,Mobile,New York,Electronics,0,13,Discover,135,0,0.0327,-1.3796
1000069,10764,43.79,POS,2025-01-01 11:52:52.311446228,63195.97,Laptop,New York,Clothing,0,6,Amex,158,0,0.0693,1.0926
1000070,14696,117.44,ATM Withdrawal,2025-01-01 12:03:21.316026320,45477.48,Mobile,Sydney,Restaurants,0,9,Amex,189,0,0.2582,1.7135
1000071,17957,65.79,POS,2025-01-01 12:13:50.320606412,42580.81,Tablet,Mumbai,Restaurants,0,5,Mastercard,221,0,0.1545,-0.115
1000072,11895,46.28,POS,2025-01-01 12:24:19.325186503,24723.95,Laptop,New York,Electronics,0,8,Mastercard,143,0,0.1872,-0.6109
1000073,14630,163.65,Online,2025-01-01 12:34:48.329766595,72814.74,Tablet,Tokyo,Restaurants,0,9,Amex,180,0,0.2247,1.6223
1000074,11300,11.18,Bank Transfer,2025-01-01 12:45:17.334346686,24808.6,Tablet,Tokyo,Groceries,0,5,Mastercard,7,0,0.0451,-1.3861
1000075,16865,19.36,POS,2025-01-01 12:55:46.338926778,38979.84,Laptop,Tokyo,Groceries,0,9,Visa,91,0,0.0497,-0.5945
1000076,14758,7.41,Online,2025-01-01 13:06:15.343506870,9773.12,Mobile,Sydney,Clothing,0,5,Amex,42,0,0.0758,-1.4531
1000077,13302,143.54,ATM Withdrawal,2025-01-01 13:16:44.348086961,37275.46,Mobile,London,Restaurants,0,7,Amex,232,0,0.3851,1.2709
1000078,12270,50.53,POS,2025-01-01 13:27:13.352667053,7981.13,Laptop,New York,Electronics,0,9,Mastercard,84,0,0.6331,0.5954
1000079,15645,118.28,POS,2025-01-01 13:37:42.357247144,50370.11,Laptop,Mumbai,Groceries,0,7,Amex,182,0,0.2348,1.2578
1000080,16699,50.03,POS,2025-01-01 13:48:11.361827236,59128.39,Mobile,Mumbai,Groceries,0,10,Amex,25,0,0.0846,-0.4148
1000081,19404,123.79,Bank Transfer,2025-01-01 13:58:40.366407328,68458.81,Mobile,Mumbai,Groceries,0,2,Discover,29,0,0.1808,0.431
1000082,14372,49.33,POS,2025-01-01 14:09:09.370987419,43698.23,Mobile,New York,Travel,0,10,Amex,43,0,0.1129,-0.3656
1000083,11607,75.79,ATM Withdrawal,2025-01-01 14:19:38.375567511,51732.76,Mobile,Tokyo,Travel,0,4,Visa,65,0,0.1465,-0.1189
1000084,18327,67.41,POS,2025-01-01 14:30:07.380147602,77917.8,Mobile,London,Clothing,0,8,Mastercard,140,0,0.0865,-0.5576
1000085,16298,71.53,Bank Transfer,2025-01-01 14:40:36.384727694,10569.29,Mobile,New York,Travel,0,16,Discover,11,0,0.6768,0.2523
1000086,17003,210.14,ATM Withdrawal,2025-01-01 14:51:05.389307786,53012.55,Mobile,London,Restaurants,0,6,Amex,118,0,0.3964,0.6399
1000087,10973,14.89,Bank Transfer,2025-01-01 15:01:34.393887877,41893.91,Mobile,New York,Electronics,1,10,Mastercard,197,0,0.0355,-1.0978
1000088,13124,51.69,Bank Transfer,2025-01-01 15:12:03.398467969,9344.35,Mobile,London,Groceries,0,6,Amex,69,0,0.5532,-0.1837
1000089,17679,63.97,Bank Transfer,2025-01-01 15:22:32.403048060,40418.05,Mobile,Mumbai,Travel,0,8,Amex,203,0,0.1583,-0.5542
1000090,18323,56.75,POS,2025-01-01 15:33:01.407628152,3047.81,Mobile,London,Clothing,0,13,Amex,169,0,1.862,-0.27
1000091,14353,39.71,ATM Withdrawal,2025-01-01 15:43:30.412208244,80326.48,Tablet,Sydney,Clothing,0,9,Mastercard,59,0,0.0494,-0.7071
1000092,18048,35.6,ATM Withdrawal,2025-01-01 15:53:59.416788335,88297.31,Mobile,Mumbai,Travel,0,12,Mastercard,197,0,0.0403,-0.352
1000093,18417,185.68,POS,2025-01-01 16:04:28.421368427,38584.55,Mobile,Mumbai,Clothing,0,8,Amex,86,0,0.4812,0.9247
1000094,13875,51.59,POS,2025-01-01 16:14:57.425948518,76095.03,Laptop,New York,Restaurants,0,10,Mastercard,90,0,0.0678,-0.4703
1000095,18981,383.89,Online,2025-01-01 16:25:26.430528610,61394.77,Mobile,Mumbai,Clothing,0,6,Visa,111,0,0.6253,1.4989
1000096,12884,83.31,Bank Transfer,2025-01-01 16:35:55.435108702,84189.06,Mobile,London,Electronics,0,14,Discover,216,0,0.099,-0.2091
1000097,12396,43.31,Bank Transfer,2025-01-01 16:46:24.439688793,72035.8,Laptop,Sydney,Clothing,0,8,Discover,13,0,0.0601,-0.7691
1000098,16825,84.96,Bank Transfer,2025-01-01 16:56:53.444268885,36736.94,Tablet,Mumbai,Electronics,0,6,Discover,208,0,0.2313,1.3721
1000099,16368,59.57,Online,2025-01-01 17:07:22.448848976,95457.33,Mobile,Mumbai,Groceries,0,7,Visa,159,0,0.0624,-0.1089
1000100,11398,159.75,Bank Transfer,2025-01-01 17:17:51.453429068,54722.6,Mobile,Sydney,Clothing,0,3,Mastercard,80,0,0.2919,0.6339
1000101,18328,21.45,POS,2025-01-01 17:28:20.458009160,84398.0,Tablet,Mumbai,Electronics,0,10,Visa,239,0,0.0254,0.0
1000102,12000,12.92,Bank Transfer,2025-01-01 17:38:49.462589251,35895.51,Laptop,London,Electronics,1,9,Amex,225,1,0.036,-0.9519
1000103,18049,72.88,Online,2025-01-01 17:49:18.467169343,9308.16,Mobile,Tokyo,Groceries,0,4,Visa,200,0,0.783,0.3451
1000104,10074,106.54,ATM Withdrawal,2025-01-01 17:59:47.471749434,53350.9,Laptop,Sydney,Electronics,0,7,Amex,133,0,0.1997,-0.2363
1000105,17969,68.63,Bank Transfer,2025-01-01 18:10:16.476329526,33467.15,Laptop,Sydney,Restaurants,0,11,Amex,228,0,0.2051,-0.7717
1000106,17870,93.5,Online,2025-01-01 18:20:45.480909618,36923.62,Mobile,New York,Restaurants,0,13,Amex,97,0,0.2532,0.9877
1000107,17804,83.13,Online,2025-01-01 18:31:14.485489709,68741.77,Mobile,Tokyo,Electronics,0,8,Visa,161,0,0.1209,0.8905
1000108,16649,16.7,Online,2025-01-01 18:41:43.490069801,77067.45,Laptop,London,Travel,0,8,Mastercard,14,0,0.0217,-0.7598
1000109,14716,68.37,POS,2025-01-01 18:52:12.494649892,55407.61,Mobile,London,Restaurants,1,15,Mastercard,82,0,0.1234,0.7481
1000110,17052,156.56,ATM Withdrawal,2025-01-01 19:02:41.499229984,60037.08,Laptop,Sydney,Clothing,0,7,Mastercard,195,0,0.2608,0.7506
1000111,12772,62.64,Bank Transfer,2025-01-01 19:13:10.503810076,94079.03,Laptop,Tokyo,Electronics,0,12,Mastercard,209,0,0.0666,-1.0061
1000112,17808,19.14,Bank Transfer,2025-01-01 19:23:39.508390167,99139.1,Mobile,Mumbai,Restaurants,0,7,Discover,222,0,0.0193,-0.4831
1000113,15557,41.8,Bank Transfer,2025-01-01 19:34:08.512970259,50530.77,Laptop,New York,Clothing,0,9,Mastercard,109,1,0.0827,-0.7393
1000114,14590,85.23,POS,2025-01-01 19:44:37.517550351,81943.09,Laptop,Tokyo,Clothing,0,7,Amex,197,0,0.104,-0.097
1000115,15057,229.64,POS,2025-01-01 19:55:06.522130442,53720.27,Laptop,Mumbai,Travel,0,7,Discover,200,0,0.4275,1.4878
1000116,15688,11.41,Online,2025-01-01 20:05:35.526710534,6517.81,Mobile,Tokyo,Clothing,0,5,Mastercard,91,0,0.1751,-0.9565
1000117,10373,72.89,ATM Withdrawal,2025-01-01 20:16:04.531290625,67627.13,Laptop,New York,Restaurants,0,6,Mastercard,114,0,0.1078,0.0067
1000118,11398,25.9,ATM Withdrawal,2025-01-01 20:26:33.535870717,85115.79,Mobile,London,Clothing,1,9,Visa,169,0,0.0304,-0.703
1000119,12455,81.96,Bank Transfer,2025-01-01 20:37:02.540450809,27932.36,Laptop,Sydney,Travel,1,6,Visa,193,0,0.2934,0.4447
1000120,11146,87.38,POS,2025-01-01 20:47:31.545030900,25005.41,Laptop,Sydney,Clothing,0,8,Visa,212,0,0.3494,0.5461
1000121,14397,45.31,ATM Withdrawal,2025-01-01 20:58:00.549610992,62631.12,Laptop,London,Restaurants,1,10,Discover,180,0,0.0723,0.8818
1000122,16685,90.49,Online,2025-01-01 21:08:29.554191083,78450.78,Mobile,London,Electronics,0,7,Amex,178,0,0.1153,0.5555
1000123,16545,135.9,Online,2025-01-01 21:18:58.558771175,39643.87,Tablet,Tokyo,Restaurants,0,4,Mastercard,105,0,0.3428,1.7333
1000124,14711,47.86,Bank Transfer,2025-01-01 21:29:27.563351267,94368.49,Tablet,London,Travel,0,7,Discover,231,0,0.0507,0.7071
1000125,18551,18.73,Bank Transfer,2025-01-01 21:39:56.567931358,91191.67,Mobile,Tokyo,Restaurants,0,6,Mastercard,221,0,0.0205,-0.8652
1000126,15653,170.79,ATM Withdrawal,2025-01-01 21:50:25.572511450,37952.25,Laptop,Sydney,Clothing,0,6,Amex,137,0,0.45,1.115
1000127,10792,105.95,POS,2025-01-01 22:00:54.577091541,17449.83,Mobile,Mumbai,Clothing,0,7,Amex,215,0,0.6072,0.2916
1000128,17650,85.71,Online,2025-01-01 22:11:23.581671633,18813.64,Mobile,London,Groceries,0,8,Visa,80,0,0.4556,0.4744
1000129,15747,31.41,Bank Transfer,2025-01-01 22:21:52.586251725,16392.35,Mobile,Mumbai,Clothing,0,5,Amex,79,0,0.1916,-0.6601
1000130,16348,120.1,ATM Withdrawal,2025-01-01 22:32:21.590831816,93592.89,Mobile,New York,Travel,0,6,Amex,64,0,0.1283,2.0103
1000131,15654,279.76,Bank Transfer,2025-01-01 22:42:50.595411908,43999.71,Mobile,Tokyo,Electronics,0,5,Mastercard,101,0,0.6358,1.4714
1000132,15536,49.55,Online,2025-01-01 22:53:19.599991999,22763.68,Mobile,New York,Travel,0,4,Mastercard,70,0,0.2177,-0.6853
1000133,10906,58.89,Online,2025-01-01 23:03:48.604572091,85028.84,Tablet,Tokyo,Travel,0,8,Amex,217,0,0.0693,0.0794
1000134,15593,23.29,ATM Withdrawal,2025-01-01 23:14:17.609152183,20936.0,Tablet,Sydney,Clothing,0,11,Mastercard,76,0,0.1112,-0.6121
1000135,17950,30.7,Bank Transfer,2025-01-01 23:24:46.613732274,75121.54,Laptop,New York,Electronics,0,5,Visa,51,0,0.0409,-0.6081
1000136,13040,23.11,Bank Transfer,2025-01-01 23:35:15.618312366,66757.07,Tablet,Sydney,Groceries,0,10,Discover,166,0,0.0346,0.7071
1000137,16029,60.62,Online,2025-01-01 23:45:44.622892457,34715.41,Laptop,Tokyo,Travel,0,7,Visa,7,0,0.1746,-0.1384
1000138,10309,41.57,Bank Transfer,2025-01-01 23:56:13.627472549,44011.79,Mobile,Sydney,Restaurants,0,9,Mastercard,75,0,0.0945,-0.5199
1000139,13475,73.57,Bank Transfer,2025-01-02 00:06:42.632052641,23087.42,Laptop,Sydney,Restaurants,0,10,Mastercard,29,0,0.3187,1.0004
1000140,14368,26.75,Bank Transfer,2025-01-02 00:17:11.636632732,82131.85,Tablet,Mumbai,Travel,0,11,Visa,212,0,0.0326,-1.0642
1000141,19828,47.75,Bank Transfer,2025-01-02 00:27:40.641212824,48430.87,Mobile,Mumbai,Groceries,0,7,Visa,165,0,0.0986,-0.7071
1000142,12146,25.46,POS,2025-01-02 00:38:09.645792915,6166.52,Laptop,New York,Electronics,0,8,Discover,22,0,0.4129,-1.0505
1000143,12766,63.44,POS,2025-01-02 00:48:38.650373007,59915.88,Laptop,Mumbai,Clothing,0,10,Amex,237,0,0.1059,0.0956
1000144,14086,14.79,POS,2025-01-02 00:59:07.654953099,23411.8,Laptop,London,Groceries,0,11,Discover,71,0,0.0632,-0.7071
1000145,19927,61.64,ATM Withdrawal,2025-01-02 01:09:36.659533190,17665.16,Mobile,London,Groceries,0,10,Mastercard,139,0,0.3489,-0.3658
1000146,18535,43.69,Bank Transfer,2025-01-02 01:20:05.664113282,742.49,Laptop,Mumbai,Restaurants,0,9,Amex,10,0,5.8843,-0.3393
1000147,10347,63.1,POS,2025-01-02 01:30:34.668693373,61217.83,Mobile,Sydney,Restaurants,0,9,Amex,69,0,0.1031,-0.4652
1000148,12340,14.56,Online,2025-01-02 01:41:03.673273465,19183.34,Mobile,Mumbai,Restaurants,0,10,Mastercard,143,0,0.0759,-0.8448
1000149,18217,92.18,ATM Withdrawal,2025-01-02 01:51:32.677853557,18949.91,Mobile,New York,Restaurants,0,7,Mastercard,180,0,0.4864,-0.1592
1000150,10584,42.99,ATM Withdrawal,2025-01-02 02:02:01.682433648,22204.72,Laptop,New York,Restaurants,0,6,Mastercard,232,0,0.1936,-0.3663
1000151,18557,64.95,Online,2025-01-02 02:12:30.687013740,54143.98,Mobile,New York,Restaurants,0,8,Mastercard,4,0,0.12,-0.2717
1000152,12814,12.23,POS,2025-01-02 02:22:59.691593831,51454.29,Mobile,Mumbai,Travel,0,9,Amex,46,0,0.0238,-1.4331
1000153,19177,20.2,POS,2025-01-02 02:33:28.696173923,30313.41,Mobile,New York,Electronics,0,4,Visa,59,0,0.0666,-0.7477
1000154,12936,39.96,POS,2025-01-02 02:43:57.700754015,57309.47,Mobile,Tokyo,Groceries,0,4,Amex,233,0,0.0697,-1.4949
1000155,14344,164.09,POS,2025-01-02 02:54:26.705334106,29349.37,Mobile,New York,Travel,1,11,Amex,35,0,0.5591,1.6283
1000156,16620,83.25,Online,2025-01-02 03:04:55.709914198,69662.93,Laptop,Sydney,Travel,0,13,Mastercard,8,0,0.1195,0.7071
1000157,11263,60.58,ATM Withdrawal,2025-01-02 03:15:24.714494289,94123.11,Tablet,Sydney,Groceries,1,7,Mastercard,175,0,0.0644,0.3859
1000158,15571,26.06,ATM Withdrawal,2025-01-02 03:25:53.719074381,21076.89,Tablet,London,Travel,0,8,Visa,84,0,0.1236,-0.7479
1000159,15051,22.53,ATM Withdrawal,2025-01-02 03:36:22.723654473,56833.39,Mobile,New York,Travel,0,7,Mastercard,103,0,0.0396,-0.6241
1000160,17839,68.12,POS,2025-01-02 03:46:51.728234564,22938.98,Mobile,London,Travel,0,6,Visa,85,0,0.297,-1.1224
1000161,19962,95.64,ATM Withdrawal,2025-01-02 03:57:20.732814656,48601.48,Mobile,New York,Clothing,0,11,Amex,87,0,0.1968,-0.1385
1000162,16644,64.53,POS,2025-01-02 04:07:49.737394747,16104.94,Mobile,London,Groceries,0,7,Mastercard,81,0,0.4007,-0.445
1000163,14092,214.36,ATM Withdrawal,2025-01-02 04:18:18.741974839,98366.75,Mobile,London,Electronics,0,10,Discover,101,0,0.2179,1.9518
1000164,14064,31.63,Bank Transfer,2025-01-02 04:28:47.746554931,38388.74,Laptop,New York,Clothing,0,3,Mastercard,90,0,0.0824,-0.5123
1000165,14180,63.02,ATM Withdrawal,2025-01-02 04:39:16.751135022,94861.13,Laptop,Sydney,Electronics,0,11,Discover,49,1,0.0664,0.0
1000166,18141,14.09,Online,2025-01-02 04:49:45.755715114,17403.0,Mobile,Sydney,Electronics,0,11,Amex,95,0,0.081,-0.6235
1000167,13213,64.64,Online,2025-01-02 05:00:14.760295205,19685.62,Mobile,London,Groceries,0,7,Amex,171,0,0.3284,-0.0416
1000168,11670,176.88,ATM Withdrawal,2025-01-02 05:10:43.764875297,53835.4,Laptop,Sydney,Restaurants,0,15,Mastercard,148,0,0.3286,1.5598
1000169,13343,23.73,Bank Transfer,2025-01-02 05:21:12.769455389,78910.29,Laptop,Mumbai,Electronics,1,7,Mastercard,213,0,0.0301,-0.7204
1000170,10228,107.09,ATM Withdrawal,2025-01-02 05:31:41.774035480,24420.91,Tablet,New York,Travel,0,5,Amex,219,0,0.4385,0.1757
1000171,11062,172.92,POS,2025-01-02 05:42:10.778615572,9302.63,Mobile,Tokyo,Travel,1,10,Discover,17,0,1.8588,1.387
1000172,10901,31.44,Bank Transfer,2025-01-02 05:52:39.783195663,69330.02,Laptop,New York,Clothing,0,12,Amex,93,0,0.0453,-0.7569
1000173,17716,79.32,POS,2025-01-02 06:03:08.787775755,45259.6,Mobile,London,Clothing,0,6,Amex,148,0,0.1753,0.1981
1000174,17224,193.2,Online,2025-01-02 06:13:37.792355847,66532.38,Laptop,Sydney,Clothing,0,8,Discover,134,0,0.2904,0.3138
1000175,16968,65.65,Online,2025-01-02 06:24:06.796935938,65172.77,Mobile,Mumbai,Electronics,1,8,Amex,34,0,0.1007,0.1037
1000176,14619,102.45,ATM Withdrawal,2025-01-02 06:34:35.801516030,26955.02,Laptop,Sydney,Groceries,0,9,Mastercard,19,0,0.3801,1.3635
1000177,17171,13.21,Bank Transfer,2025-01-02 06:45:04.806096121,46665.73,Laptop,Mumbai,Electronics,0,7,Mastercard,141,0,0.0283,-0.8031
1000178,11613,88.03,Online,2025-01-02 06:55:33.810676213,16169.08,Laptop,Sydney,Travel,1,9,Visa,236,0,0.5444,0.1223
1000179,19007,82.58,ATM Withdrawal,2025-01-02 07:06:02.815256305,63145.28,Mobile,New York,Groceries,0,8,Visa,195,0,0.1308,1.3513
